street,ward,district,city,size,property_legal_document,bed_rooms,toilets,floors,price,house_type
Lý Văn Tố,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,86.0,Sổ hồng,9.0,9.0,5.0,14 tỷ 500 triệu,nhà mặt tiền
Đỗ Bá,Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,76.0,Sổ hồng,9.0,9.0,5.0,18 tỷ,nhà mặt tiền
Yết Kiêu,Phường Thọ Quang,Quận Sơn Trà,Đà Nẵng,125.0,Sổ hồng,3.0,2.0,2.0,5 tỷ 250 triệu,nhà mặt tiền
Thế Lữ,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,120.0,Sổ hồng,3.0,2.0,,6 tỷ 300 triệu,nhà mặt tiền
An Thượng 26,Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,180.0,Sổ hồng,20.0,20.0,8.0,40 tỷ,nhà mặt tiền
Lê Thanh Nghị,Phường Hòa Cường Bắc,Quận Hải Châu,Đà Nẵng,87.0,Sổ hồng,5.0,6.0,4.0,11 tỷ 900 triệu,nhà mặt tiền
Võ An Ninh,Phường Hòa Xuân,Quận Cẩm Lệ,Đà Nẵng,94.0,Sổ đỏ,19.0,19.0,5.0,12 tỷ,nhà mặt tiền
Mai Hắc Đế,Phường An Hải Tây,Quận Sơn Trà,Đà Nẵng,76.0,Sổ hồng,2.0,2.0,2.0,6 tỷ 600 triệu,nhà mặt tiền
An Trung,Phường An Hải Tây,Quận Sơn Trà,Đà Nẵng,58.0,Sổ hồng,3.0,3.0,,3 tỷ 950 triệu,nhà mặt tiền
Trịnh Lỗi,Khuê Mỹ,Quận Ngũ Hành Sơn,Đà Nẵng,95.0,Sổ hồng,11.0,11.0,4.5,8 tỷ 200 triệu,nhà mặt tiền
Ngô Quyền,Phường Mân Thái,Quận Sơn Trà,Đà Nẵng,150.0,Sổ hồng,3.0,3.0,2.0,10 tỷ 199 triệu,nhà mặt tiền
Mỹ Đa Đông 12,Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,256.0,Sổ hồng,17.0,17.0,5.0,21 tỷ 500 triệu,nhà mặt tiền
Hàn Thuyên,Phường Hòa Cường Bắc,Quận Hải Châu,Đà Nẵng,100.0,Sổ hồng,12.0,12.0,4.0,10 tỷ 499 triệu,nhà mặt tiền
Dương Thị Xuân Quý,Bắc Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,100.0,Sổ hồng,3.0,2.0,2.0,10 tỷ 299 triệu,nhà mặt tiền
Mỹ An 23,Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,88.0,Sổ hồng,2.0,2.0,2.0,5 tỷ 199 triệu,nhà mặt tiền
Doãn Uẩn,Khuê Mỹ,Quận Ngũ Hành Sơn,Đà Nẵng,90.0,Sổ hồng,2.0,3.0,,5 tỷ 300 triệu,nhà mặt tiền
Mai Thúc Lân,Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,138.0,Sổ hồng,3.0,2.0,2.0,19 tỷ 999 triệu,nhà mặt tiền
Lê Văn Hiến,Khuê Mỹ,Quận Ngũ Hành Sơn,Đà Nẵng,112.0,Sổ hồng,2.0,2.0,2.0,7 tỷ 899 triệu,nhà mặt tiền
Nguyễn Thông,Phường An Hải Tây,Quận Sơn Trà,Đà Nẵng,100.0,Sổ hồng,4.0,4.0,3.0,9 tỷ 999 triệu,nhà mặt tiền
Bàu Tràm 1,Phường Khuê Trung,Quận Cẩm Lệ,Đà Nẵng,122.0,Sổ hồng,5.0,4.0,3.0,6 tỷ 589 triệu,nhà mặt tiền
Phạm Kiệt,Khuê Mỹ,Quận Ngũ Hành Sơn,Đà Nẵng,82.0,Hợp đồng mua bán,2.0,2.0,7.0,3 tỷ 608 triệu,nhà mặt tiền
Cô Giang,Phường Phước Ninh,Quận Hải Châu,Đà Nẵng,146.3,Sổ hồng,4.0,3.0,3.0,19 tỷ 500 triệu,nhà mặt tiền
Ngô Quyền,Phường An Hải Đông,Quận Sơn Trà,Đà Nẵng,100.0,Sổ hồng,20.0,20.0,9.0,33 tỷ,nhà mặt tiền
Lê Văn Quý,Phường Phước Mỹ,Quận Sơn Trà,Đà Nẵng,75.0,Sổ đỏ,4.0,4.0,4.0,10 tỷ 800 triệu,nhà mặt tiền
Đường Hà Thị Thân,Phường An Hải Tây,Quận Sơn Trà,Đà Nẵng,111.0,Sổ đỏ,14.0,14.0,6.0,16 tỷ 500 triệu,nhà mặt tiền
Lê Văn Quý,Phường Phước Mỹ,Quận Sơn Trà,Đà Nẵng,75.0,Sổ đỏ,4.0,45.0,4.0,10 tỷ 800 triệu,nhà mặt tiền
Trần Minh Thiệt,Hòa Quý,Quận Ngũ Hành Sơn,Đà Nẵng,100.0,Sổ hồng,3.0,3.0,,4 tỷ 100 triệu,nhà mặt tiền
Phạm Phú Tiết,Phường Khuê Trung,Quận Cẩm Lệ,Đà Nẵng,97.0,Sổ đỏ,1.0,1.0,,6 tỷ 150 triệu,nhà mặt tiền
Vùng Trung 18,Hòa Hải,Quận Ngũ Hành Sơn,Đà Nẵng,103.0,Sổ hồng,1.0,1.0,,3 tỷ 700 triệu,nhà mặt tiền
Đoàn Khuê,Khuê Mỹ,Quận Ngũ Hành Sơn,Đà Nẵng,95.0,Sổ hồng,3.0,4.0,3.0,7 tỷ 800 triệu,nhà mặt tiền
Trần Khánh Dư,Khuê Mỹ,Quận Ngũ Hành Sơn,Đà Nẵng,95.0,Sổ hồng,2.0,2.0,,8 tỷ 800 triệu,nhà mặt tiền
An Thượng 34,Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,905.0,Sổ hồng,9.0,9.0,5.0,17 tỷ,nhà mặt tiền
An Thượng 38,Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,60.0,Sổ hồng,7.0,7.0,4.0,9 tỷ,nhà mặt tiền
An Hải 6,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,100.0,Sổ hồng,3.0,2.0,3.0,7 tỷ 500 triệu,nhà mặt tiền
Chính Hữu,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,132.0,Sổ đỏ,2.0,,,9 tỷ 899 triệu,nhà mặt tiền
Núi Thành,Phường Hòa Cường Bắc,Quận Hải Châu,Đà Nẵng,100.2,Sổ hồng,5.0,5.0,3.0,13 tỷ 600 triệu,nhà mặt tiền
Trần Cao Vân,Phường Tam Thuận,Quận Thanh Khê,Đà Nẵng,52.0,Sổ hồng,3.0,4.0,3.0,4 tỷ 950 triệu,nhà mặt tiền
Lưu Quý Kỳ,Phường Hòa Cường Nam,Quận Hải Châu,Đà Nẵng,60.7,Sổ hồng,4.0,4.0,3.0,5 triệu 800 nghìn,nhà mặt tiền
Tôn Đức Thắng,Phường Hòa Khánh Nam,Quận Liên Chiểu,Đà Nẵng,202.0,Sổ hồng,4.0,4.0,2.0,18 tỷ,nhà mặt tiền
Ỷ Lan Nguyên Phi,Phường Hòa Cường Bắc,Quận Hải Châu,Đà Nẵng,90.0,Sổ hồng,3.0,3.0,3.0,9 tỷ 200 triệu,nhà mặt tiền
Trần Hưng Đạo,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,250.0,Sổ hồng,7.0,7.0,,80 tỷ,nhà mặt tiền
Đinh Tiên Hoàng,Phường Tam Thuận,Quận Thanh Khê,Đà Nẵng,72.0,Sổ hồng,2.0,2.0,2.0,3 tỷ 800 triệu,nhà mặt tiền
Cù Chính Lan,Phường An Khê,Quận Thanh Khê,Đà Nẵng,198.0,Sổ đỏ,3.0,2.0,2.0,12 tỷ 500 triệu,nhà mặt tiền
Hóa Sơn 1,Phường Hải Châu I,Quận Hải Châu,Đà Nẵng,120.0,Sổ đỏ,4.0,4.0,4.0,11 tỷ 599 triệu,nhà mặt tiền
Xô Viết Nghệ Tĩnh,Phường Hòa Cường Nam,Quận Hải Châu,Đà Nẵng,18.54,Sổ hồng,3.0,3.0,,1 tỷ 93 triệu,nhà mặt tiền
Lê Văn Duyệt,Nại Hiên Đông,Quận Sơn Trà,Đà Nẵng,7167.0,Sổ hồng,2.0,2.0,,4 tỷ 300 triệu,nhà mặt tiền
Trần Hưng Đạo,Phường An Hải Tây,Quận Sơn Trà,Đà Nẵng,100.0,Sổ đỏ,4.0,6.0,,30 triệu,nhà mặt tiền
Đoàn Hữu Trưng,Phường Hòa An,Quận Cẩm Lệ,Đà Nẵng,92.0,Sổ hồng,3.0,3.0,2.0,4 tỷ 700 triệu,nhà mặt tiền
Nguyễn Đức Cảnh,Phường Thuận Phước,Quận Hải Châu,Đà Nẵng,80.0,Sổ hồng,3.0,2.0,2.0,5 tỷ,nhà mặt tiền
Nguyễn Hoàng,Phường Bình Hiên,Quận Hải Châu,Đà Nẵng,73.0,Sổ hồng,2.0,2.0,2.0,7 tỷ 200 triệu,nhà mặt tiền
Phạm Nhữ Tăng,Phường Hòa Khê,Quận Thanh Khê,Đà Nẵng,90.0,Sổ hồng,3.0,3.0,,4 tỷ 299 triệu,nhà mặt tiền
Dương Đức Hiền,Phường Hòa Minh,Quận Liên Chiểu,Đà Nẵng,72.0,Sổ hồng,3.0,5.0,3.0,5 tỷ 850 triệu,nhà mặt tiền
Lê Văn Duyệt,Nại Hiên Đông,Quận Sơn Trà,Đà Nẵng,63.0,Sổ hồng,2.0,2.0,3.0,3 tỷ 726 triệu,nhà mặt tiền
Hà Đặc,Phường Phước Mỹ,Quận Sơn Trà,Đà Nẵng,63.0,Sổ hồng,3.0,3.0,3.0,7 tỷ 500 triệu,nhà mặt tiền
Bùi Dương Lịch,Nại Hiên Đông,Quận Sơn Trà,Đà Nẵng,92651.8,Hợp đồng mua bán,2.0,1.0,,4910 tỷ 545 triệu,nhà mặt tiền
Lê Văn Duyệt,Nại Hiên Đông,Quận Sơn Trà,Đà Nẵng,77.7,Sổ hồng,2.0,2.0,3.0,4 tỷ 428 triệu,nhà mặt tiền
An Nhơn,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,114.0,Sổ hồng,4.0,4.0,3.0,9 tỷ 700 triệu,nhà mặt tiền
Nguyễn Chí Diểu,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,110.0,Sổ hồng,5.0,5.0,3.0,7 tỷ 100 triệu,nhà mặt tiền
Hoàng Bích Sơn,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,110.0,Sổ hồng,3.0,3.0,,8 tỷ 500 triệu,nhà mặt tiền
Xuân Hòa 2,Phường Thanh Khê Đông,Quận Thanh Khê,Đà Nẵng,60.0,Sổ hồng,3.0,2.0,2.0,4 tỷ 200 triệu,nhà mặt tiền
Chu Huy Mân,Nại Hiên Đông,Quận Sơn Trà,Đà Nẵng,160.0,Sổ hồng,6.0,6.0,3.0,9 tỷ 850 triệu,nhà mặt tiền
Ngô Quyền,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,90.0,Sổ hồng,3.0,3.0,3.0,7 tỷ 499 triệu,nhà mặt tiền
Trần Thanh Mại,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,89.0,Sổ hồng,4.0,4.0,4.0,7 tỷ 600 triệu,nhà mặt tiền
Phan Bôi,Phường An Hải Đông,Quận Sơn Trà,Đà Nẵng,80.0,Sổ hồng,4.0,4.0,4.0,6 tỷ 799 triệu,nhà mặt tiền
Kỳ Đồng,Phường Thanh Khê Đông,Quận Thanh Khê,Đà Nẵng,100.0,Sổ hồng,3.0,3.0,3.0,8 tỷ 499 triệu,nhà mặt tiền
Mẹ Nhu,Phường Thanh Khê Tây,Quận Thanh Khê,Đà Nẵng,44.0,Sổ hồng,2.0,2.0,2.0,3 tỷ 250 triệu,nhà mặt tiền
Nguyễn Đức Trung,Phường Thanh Khê Đông,Quận Thanh Khê,Đà Nẵng,80.0,Sổ hồng,4.0,4.0,4.0,11 tỷ,nhà mặt tiền
Thủ Khoa Huân,Phường An Hải Đông,Quận Sơn Trà,Đà Nẵng,189.0,Sổ hồng,1.0,1.0,,14 tỷ 500 triệu,nhà mặt tiền
Bình an 7,Phường Hòa Cường Bắc,Quận Hải Châu,Đà Nẵng,95.0,Sổ hồng,3.0,3.0,2.0,5 tỷ 900 triệu,nhà mặt tiền
Thanh Thủy,Phường Thanh Bình,Quận Hải Châu,Đà Nẵng,180.0,Sổ hồng,4.0,6.0,3.0,19 tỷ,nhà mặt tiền
Cần Giuộc,Phường An Khê,Quận Thanh Khê,Đà Nẵng,90.0,Sổ hồng,3.0,2.0,2.0,5 tỷ 500 triệu,nhà mặt tiền
Khúc Hạo,Nại Hiên Đông,Quận Sơn Trà,Đà Nẵng,125.0,Sổ hồng,4.0,5.0,3.0,7 tỷ 200 triệu,nhà mặt tiền
Trưng Nữ Vương,Phường Hòa Thuận Tây,Quận Hải Châu,Đà Nẵng,100.0,Sổ hồng,4.0,4.0,3.0,10 tỷ 500 triệu,nhà mặt tiền
Thanh Hải,Phường Thanh Bình,Quận Hải Châu,Đà Nẵng,110.0,Sổ hồng,4.0,4.0,2.0,8 tỷ 500 triệu,nhà mặt tiền
Đa Mặn 6,Khuê Mỹ,Quận Ngũ Hành Sơn,Đà Nẵng,100.0,Sổ hồng,4.0,4.0,4.0,7 tỷ 750 triệu,nhà mặt tiền
Tiên Sơn 17,Phường Hòa Cường Bắc,Quận Hải Châu,Đà Nẵng,105.0,Sổ đỏ,2.0,2.0,2.0,6 tỷ 400 triệu,nhà mặt tiền
Hàm Nghi,Phường Vĩnh Trung,Quận Thanh Khê,Đà Nẵng,51.0,Sổ hồng,3.0,3.0,4.0,13 tỷ 500 triệu,nhà mặt tiền
Bình Hòa 2,Phường Khuê Trung,Quận Cẩm Lệ,Đà Nẵng,60.0,Sổ hồng,4.0,3.0,3.0,4 tỷ 100 triệu,nhà mặt tiền
Ỷ Lan Nguyên Phi,Phường Hòa Cường Bắc,Quận Hải Châu,Đà Nẵng,40.0,Sổ đỏ,2.0,2.0,,3 tỷ 400 triệu,nhà mặt tiền
Lê Văn Duyệt,Phường An Hải Đông,Quận Sơn Trà,Đà Nẵng,109.0,Sổ hồng,3.0,2.0,,7 tỷ 300 triệu,nhà mặt tiền
Lê Thanh Nghị,Phường Hòa Cường Bắc,Quận Hải Châu,Đà Nẵng,50.0,Sổ đỏ,3.0,2.0,,3 tỷ 950 triệu,nhà mặt tiền
Lê Thanh Nghị,Phường Hòa Cường Bắc,Quận Hải Châu,Đà Nẵng,50.0,Sổ đỏ,3.0,2.0,3.0,3 tỷ 950 triệu,nhà mặt tiền
Hoá Sơn 10,Phường Hòa Cường Nam,Quận Hải Châu,Đà Nẵng,120.0,Sổ đỏ,4.0,4.0,4.0,16 tỷ,nhà mặt tiền
Võ Nguyên Giáp,Phường Mân Thái,Quận Sơn Trà,Đà Nẵng,388.0,Sổ đỏ,1.0,1.0,,2 tỷ 450 triệu,nhà mặt tiền
An Thượng 3,Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,90.0,Sổ hồng,8.0,9.0,4.0,22 tỷ 500 triệu,nhà mặt tiền
Trần Sâm,Nại Hiên Đông,Quận Sơn Trà,Đà Nẵng,180.0,Sổ hồng,1.0,1.0,,9 tỷ 800 triệu,nhà mặt tiền
Bình An 1,Phường Hòa Cường Bắc,Quận Hải Châu,Đà Nẵng,77.0,Sổ đỏ,2.0,2.0,2.0,4 tỷ 999 triệu,nhà mặt tiền
Nguyễn Xiển,Hòa Hải,Quận Ngũ Hành Sơn,Đà Nẵng,248.0,Sổ hồng,45.0,47.0,9.0,52 tỷ,nhà mặt tiền
Huỳnh Thúc Kháng,Phường Nam Dương,Quận Hải Châu,Đà Nẵng,90.0,Sổ hồng,4.0,3.0,2.0,16 tỷ 700 triệu,nhà mặt tiền
Võ Nguyên Giáp,Khuê Mỹ,Quận Ngũ Hành Sơn,Đà Nẵng,113.0,Sổ hồng,12.0,12.0,4.0,6 tỷ 900 triệu,nhà mặt tiền
Ông Ích Khiêm,Phường Hải Châu II,Quận Hải Châu,Đà Nẵng,155.0,Sổ hồng,20.0,20.0,5.0,36 tỷ,nhà mặt tiền
Trần Bạch Đằng,Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,245.0,Sổ hồng,52.0,52.0,10.0,120 tỷ,nhà mặt tiền
Xô Viết Nghệ Tĩnh,Phường Hòa Cường Bắc,Quận Hải Châu,Đà Nẵng,300.0,Sổ hồng,16.0,18.0,4.0,23 tỷ,nhà mặt tiền
An Mỹ,Phường An Hải Tây,Quận Sơn Trà,Đà Nẵng,72.0,Sổ hồng,9.0,9.0,7.0,14 tỷ,nhà mặt tiền
Khuê Mỹ Đông 5,Khuê Mỹ,Quận Ngũ Hành Sơn,Đà Nẵng,175.0,Sổ hồng,5.0,5.0,2.0,13 tỷ 500 triệu,nhà mặt tiền
Nguyễn Hữu Thọ,Phường Khuê Trung,Quận Cẩm Lệ,Đà Nẵng,82.0,Sổ hồng,4.0,5.0,4.0,14 tỷ 900 triệu,nhà mặt tiền
Tố Hữu,Phường Hòa Cường Nam,Quận Hải Châu,Đà Nẵng,100.0,Sổ hồng,5.0,4.0,3.0,10 tỷ 500 triệu,nhà mặt tiền
Dương Đình Nghệ,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,108.0,Sổ hồng,20.0,20.0,6.0,18 tỷ,nhà mặt tiền
Phạm Văn Nghị,Phường Thạc Gián,Quận Thanh Khê,Đà Nẵng,125.0,Sổ hồng,8.0,8.0,3.0,12 tỷ 900 triệu,nhà mặt tiền
Ông Ích Khiêm,Phường Hải Châu II,Quận Hải Châu,Đà Nẵng,350.0,Sổ hồng,4.0,4.0,4.0,81 tỷ,nhà mặt tiền
Nguyễn Thị Cận,Phường Hòa Minh,Quận Liên Chiểu,Đà Nẵng,156.0,Sổ hồng,20.0,20.0,,8 tỷ 149 triệu,nhà mặt tiền
Nguyễn Hữu Thông,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,300.0,Sổ hồng,12.0,14.0,4.0,48 tỷ,nhà mặt tiền
An Thượng 28,Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,180.0,Sổ hồng,20.0,20.0,9.0,32 tỷ,nhà mặt tiền
Vương Thừa Vũ,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,81.0,Sổ đỏ,6.0,7.0,5.0,10 tỷ 900 triệu,nhà mặt tiền
Dương Chí trạch,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,75.0,Sổ hồng,8.0,9.0,6.0,11 tỷ 500 triệu,nhà mặt tiền
Lê Quang Đạo,Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,145.0,Sổ hồng,23.0,23.0,8.0,43 tỷ,nhà mặt tiền
Đống Đa,Phường Thạch Thang,Quận Hải Châu,Đà Nẵng,198.0,Sổ hồng,10.0,11.0,4.0,33 tỷ,nhà mặt tiền
An Thượng 26,Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,90.0,Sổ hồng,4.0,5.0,4.0,14 tỷ 500 triệu,nhà mặt tiền
An Thượng 26,Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,180.0,Sổ hồng,41.0,42.0,11.0,45 tỷ,nhà mặt tiền
Lê Hữu Trác,Phường An Hải Đông,Quận Sơn Trà,Đà Nẵng,156.0,Sổ hồng,10.0,10.0,4.0,10 tỷ 800 triệu,nhà mặt tiền
2/9,Phường Hòa Cường Nam,Quận Hải Châu,Đà Nẵng,618.0,Sổ hồng,40.0,40.0,5.0,75 tỷ,nhà mặt tiền
Nghiêm Xuân Yên,Khuê Mỹ,Quận Ngũ Hành Sơn,Đà Nẵng,100.0,Sổ hồng,11.0,11.0,4.0,10 tỷ 300 triệu,nhà mặt tiền
Phần Lăng 18,Phường Hòa Khê,Quận Thanh Khê,Đà Nẵng,170.0,Sổ hồng,4.0,6.0,4.0,13 tỷ,nhà mặt tiền
Nguyễn Hoàng,Phường Vĩnh Trung,Quận Thanh Khê,Đà Nẵng,108.0,Sổ hồng,3.0,2.0,2.0,11 tỷ,nhà mặt tiền
Nguyễn Đức Trung,Phường Thanh Khê Đông,Quận Thanh Khê,Đà Nẵng,1576.0,Sổ hồng,15.0,15.0,,140 tỷ,nhà mặt tiền
Điên Biên Phủ,Phường Thanh Khê Đông,Quận Thanh Khê,Đà Nẵng,200.0,Sổ hồng,6.0,5.0,3.0,27 tỷ,nhà mặt tiền
Nguyễn Duy Hiệu,Phường An Hải Đông,Quận Sơn Trà,Đà Nẵng,106.0,Sổ hồng,11.0,12.0,6.0,14 tỷ 500 triệu,nhà mặt tiền
Hồ Nghinh,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,101.0,Sổ hồng,23.0,23.0,8.0,26 tỷ 999 triệu,nhà mặt tiền
An Dương Vương,Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,100.0,Sổ hồng,3.0,3.0,3.0,7 tỷ 200 triệu,nhà mặt tiền
An Thượng 32,Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,81.0,Sổ hồng,5.0,4.0,3.0,13 tỷ,nhà mặt tiền
Nguyễn Đức An,Phường Phước Mỹ,Quận Sơn Trà,Đà Nẵng,91.0,Sổ hồng,14.0,14.0,7.0,13 tỷ,nhà mặt tiền
Bùi Thị Xuân,Phường An Hải Tây,Quận Sơn Trà,Đà Nẵng,100.0,Sổ hồng,10.0,10.0,4.0,11 tỷ 800 triệu,nhà mặt tiền
