street,ward,district,city,size,property_legal_document,bed_rooms,toilets,floors,price,house_type
Nguyễn Hữu Thọ,Khuê Trung,Cẩm Lệ,Đà Nẵng,115.0,1,5,5,3,11.5,1
Hoàng Xuân Nhị,Hòa Cường Nam,Hải Châu,Đà Nẵng,118.0,1,6,5,4,9.9,1
Cao Bá Quát,An Hải Tây,Sơn Trà,Đà Nẵng,111.0,1,4,4,3,11.0,1
Huy Cận,Khuê Trung,Cẩm Lệ,Đà Nẵng,143.0,1,7,5,3,9.5,1
2 Tháng 9,Bình Hiên,Hải Châu,Đà Nẵng,135.0,1,4,4,2,10.5,1
Hoàng Diệu,Nam Dương,Hải Châu,Đà Nẵng,72.0,1,3,3,3,16.5,1
Ngô Thì Trí,Nại Hiên Đông,Sơn Trà,Đà Nẵng,155.0,1,4,5,3,9.7,1
Xuân Quỳnh,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,132.0,1,3,4,3,12.9,1
Hoàng Diệu,Hòa Thuận Đông,Hải Châu,Đà Nẵng,150.0,1,5,4,3,9.2,1
Phạm Cự Lượng,An Hải Đông,Sơn Trà,Đà Nẵng,137.0,1,4,4,3,15.999,1
Lê Hồng Phong,Hải Châu 1,Hải Châu,Đà Nẵng,82.0,1,2,2,2,15.0,1
Lê Thanh Nghị,Hòa Cường Bắc,Hải Châu,Đà Nẵng,117.0,1,6,6,4,16.5,1
Trưng Nữ Vương,Bình Thuận,Hải Châu,Đà Nẵng,128.0,1,7,4,4,19.0,1
Tố Hữu,Khuê Trung,Cẩm Lệ,Đà Nẵng,109.0,1,6,5,3,15.9,1
Trương Chí Cương,Hòa Cường Nam,Hải Châu,Đà Nẵng,120.0,1,4,5,3,11.5,1
Huỳnh Tấn Phát,Hòa Cường Bắc,Hải Châu,Đà Nẵng,95.0,1,5,3,3,11.0,1
Huy CậN,Hòa Cường Nam,Hải Châu,Đà Nẵng,70.0,1,3,3,3,6.3,1
Hà Huy Tập,Thanh Khê Đông,Thanh Khê,Đà Nẵng,90.0,1,4,5,4,13.0,1
Phước Mỹ 1,Phước Mỹ,Sơn Trà,Đà Nẵng,120.0,1,4,4,3,12.8,1
Bùi Viện,Hòa Cường Nam,Hải Châu,Đà Nẵng,140.0,1,4,4,3,9.999,1
Trần Tống,Thạc Gián,Thanh Khê,Đà Nẵng,100.0,1,3,3,2,10.5,1
Trần Hưng Đạo,An Hải Tây,Sơn Trà,Đà Nẵng,100.0,1,3,4,3,11.2,1
Hà Duy Phiên,Hòa Xuân,Cẩm Lệ,Đà Nẵng,80.0,1,3,3,3,4.5,1
Lê Đại Hành,Hòa Thọ Đông,Cẩm Lệ,Đà Nẵng,137.0,1,3,2,2,10.6,1
Trần Quang Diệu,An Hải Tây,Sơn Trà,Đà Nẵng,96.0,1,3,3,3,12.5,1
Trưng Nữ Vương,Hòa Thuận Tây,Hải Châu,Đà Nẵng,119.0,1,4,4,3,15.5,1
Nguyễn Thành Hãn,Hòa Thuận Tây,Hải Châu,Đà Nẵng,119.0,1,3,3,2,9.8,1
Núi Thành,Hòa Cường Bắc,Hải Châu,Đà Nẵng,100.0,1,4,3,4,12.0,1
Ông Ích Khiêm,Hải Châu 11,Hải Châu,Đà Nẵng,107.0,1,5,3,3,22.0,1
Tiểu La,Hòa Cường Bắc,Hải Châu,Đà Nẵng,90.0,1,3,4,3,13.8,1
Trưng Nữ Vương,Hòa Thuận Đông,Hải Châu,Đà Nẵng,65.0,1,3,3,3,9.0,1
Hoàng Diệu,Nam Dương,Hải Châu,Đà Nẵng,62.0,1,6,7,4,15.499,1
An Thượng 37,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,75.0,1,4,3,4,14.5,1
Hoàng Thúc Trâm,Hòa Cường Bắc,Hải Châu,Đà Nẵng,90.0,1,4,3,3,7.599,1
Võ Nguyên Giáp,Mân Thái,Sơn Trà,Đà Nẵng,45.0,1,1,1,2,2.3,1
Nam Kỳ Khởi Nghĩa,Hòa Hải,Ngũ Hành Sơn,Đà Nẵng,111.0,1,3,3,2,3.662,1
Lỗ Giáng 24,Hòa Xuân,Cẩm Lệ,Đà Nẵng,100.0,1,3,3,3,4.38,1
Cù Chính Lan,Hòa Khê,Thanh Khê,Đà Nẵng,44.4,1,3,3,3,4.65,1
Xuân Diệu,Thuận Phước,Hải Châu,Đà Nẵng,72.0,1,3,3,3,6.0,1
Nguyễn Đình Chiểu,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,90.0,1,3,2,2,4.0,1
Thành Thái,Khuê Trung,Cẩm Lệ,Đà Nẵng,90.0,1,4,4,3,5.0,1
Ông Ích Đường,Khuê Trung,Cẩm Lệ,Đà Nẵng,43.0,1,3,3,2,3.899,1
Trần Cao Vân,Tam Thuận,Thanh Khê,Đà Nẵng,70.0,1,2,2,2,5.5,1
Mỹ Đa Tây 10,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,85.0,1,1,1,2,3.5,1
Phan Đăng Lưu,Hòa Cường Nam,Hải Châu,Đà Nẵng,70.0,1,3,3,2,5.8,1
An Nhơn,An Hải Bắc,Sơn Trà,Đà Nẵng,80.0,1,5,5,2,8.5,1
Nguyễn Chánh,Hòa Minh,Liên Chiểu,Đà Nẵng,67.0,1,3,4,3,3.55,1
An Thượng 6,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,75.0,1,3,3,2,10.0,1
Cù Chính Lan,Hòa Khê,Thanh Khê,Đà Nẵng,44.0,1,2,2,2,2.57,1
Nguyễn Xuân Hữu,Hòa Thọ Đông,Cẩm Lệ,Đà Nẵng,78.0,1,3,2,2,3.65,1
Dương Văn An,Mân Thái,Sơn Trà,Đà Nẵng,75.0,1,3,3,3,4.9,1
Giang Châu 1,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,100.0,1,3,3,3,6.0,1
Đa Mặn 10,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,80.0,1,3,3,2,4.85,1
Hồ Nghinh,Phước Mỹ,Sơn Trà,Đà Nẵng,121.0,1,5,5,3,17.5,1
Nguyễn Tri Phương,Hòa Thuận Đông,Hải Châu,Đà Nẵng,78.0,1,3,4,3,7.9,1
Đa Phước 10,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,84.0,1,4,4,3,6.2,1
Hoa Phượng 2,An Hải Tây,Sơn Trà,Đà Nẵng,100.0,1,4,4,3,11.0,1
Tiên Sơn 16,Hòa Cường Nam,Hải Châu,Đà Nẵng,65.0,1,2,2,3,5.35,1
Văn Tiến Dũng,Hòa Xuân,Cẩm Lệ,Đà Nẵng,100.0,1,5,5,3,4.0,1
An Hải 3,An Hải Bắc,Sơn Trà,Đà Nẵng,72.0,1,2,2,2,4.85,1
Phạm Công Trứ,Hòa Xuân,Cẩm Lệ,Đà Nẵng,100.0,1,1,1,3,2.75,1
Phù Đổng,Hòa Xuân,Cẩm Lệ,Đà Nẵng,117.0,1,3,3,3,3.99,1
Đinh Thị Hòa,An Hải Bắc,Sơn Trà,Đà Nẵng,50.0,1,2,2,3,4.799,1
Yết Kiêu,Thọ Quang,Sơn Trà,Đà Nẵng,97.0,1,1,1,3,3.449,1
Cồn Dầu 19,Hòa Xuân,Cẩm Lệ,Đà Nẵng,100.0,1,3,3,3,5.9,1
An Nhơn 1,An Hải Bắc,Sơn Trà,Đà Nẵng,57.0,1,1,1,3,3.85,1
An Trung Đông,An Hải Đông,Sơn Trà,Đà Nẵng,98.0,1,3,3,3,6.299,1
Đông Lợi 4,An Khê,Thanh Khê,Đà Nẵng,73.0,1,7,7,4,5.9,1
Mỹ An 23,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,100.0,1,3,3,2,6.2,1
Tôn Đản,Hòa An,Cẩm Lệ,Đà Nẵng,149.0,1,3,2,2,4.789,1
Thế Lữ,An Hải Bắc,Sơn Trà,Đà Nẵng,143.0,1,3,2,3,5.899,1
Đồng Trí 4,Hòa Khánh Nam,Liên Chiểu,Đà Nẵng,90.0,1,5,5,3,4.4,1
Thi Sách,Hòa Thuận Tây,Hải Châu,Đà Nẵng,60.0,1,4,4,4,7.499,1
An Thượng 18,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,50.0,1,2,2,3,4.349,1
Phan Thanh,Thạc Gián,Thanh Khê,Đà Nẵng,94.0,1,2,2,3,11.0,1
Trần Kế Xương,Hải Châu 11,Hải Châu,Đà Nẵng,68.0,1,7,3,4,16.5,1
Mỹ Đa Tây 8,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,100.0,1,3,4,3,7.2,1
Lê Văn Hiến,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,135.0,1,3,4,2,5.899,1
Thạch Lam,Phước Mỹ,Sơn Trà,Đà Nẵng,92.0,1,2,1,2,7.2,1
An Dương Vương,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,80.0,1,3,2,3,7.5,1
Nghiêm Xuân Yên,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,100.0,1,6,6,3,7.6,1
Đa Mặn 7,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,100.0,1,3,2,2,5.5,1
Mỹ An 4,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,100.0,1,3,2,2,5.5,1
Cẩm Nam 7,Hòa Xuân,Cẩm Lệ,Đà Nẵng,125.0,1,2,2,2,3.6,1
Tiên Sơn 4,Hòa Cường Nam,Hải Châu,Đà Nẵng,65.0,1,3,3,3,4.65,1
Trần Hưng Đạo,An Hải Tây,Sơn Trà,Đà Nẵng,100.0,1,4,3,3,10.499,1
Nguyễn Sơn Hà,Hòa Cường Bắc,Hải Châu,Đà Nẵng,85.0,1,2,2,2,5.5,1
Hải Hồ,Thuận Phước,Hải Châu,Đà Nẵng,40.0,1,3,2,3,5.2,1
Hưng Hóa,Hòa Cường Nam,Hải Châu,Đà Nẵng,60.0,1,3,2,2,4.85,1
Phan Bôi,Mân Thái,Sơn Trà,Đà Nẵng,79.0,1,4,4,4,6.8,1
Phạm Hữu Kính,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,130.0,1,4,4,3,16.9,1
Trương Định,Mân Thái,Sơn Trà,Đà Nẵng,100.0,1,3,3,3,7.85,1
Bàu Trảng,Thanh Khê Đông,Thanh Khê,Đà Nẵng,100.0,1,3,1,3,3.8,1
Thạch Lam,Phước Mỹ,Sơn Trà,Đà Nẵng,90.0,1,2,2,3,7.9,1
Lê Hồng Phong,Phước Ninh,Hải Châu,Đà Nẵng,85.0,1,2,1,3,14.45,1
Ngô Mây,Hòa Xuân,Cẩm Lệ,Đà Nẵng,120.0,1,3,2,2,3.589,1
Nguyễn Trung Trực,Nại Hiên Đông,Sơn Trà,Đà Nẵng,150.0,1,3,3,3,9.9,1
Hải Hồ,Thanh Bình,Hải Châu,Đà Nẵng,90.0,1,3,2,2,7.25,1
Lê Văn Hiến,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,100.0,1,6,6,3,7.549,1
Tôn Đức Thắng,Hòa Khánh Nam,Liên Chiểu,Đà Nẵng,120.0,1,3,2,3,11.0,1
Đinh Đạt,Mân Thái,Sơn Trà,Đà Nẵng,100.0,1,4,5,4,11.0,1
Đỗ Nhuận,Hòa Minh,Liên Chiểu,Đà Nẵng,90.0,1,4,4,3,5.4,1
3 Tháng 2,Thuận Phước,Hải Châu,Đà Nẵng,60.0,1,2,2,2,7.6,1
Nguyễn Lai,Khuê Trung,Cẩm Lệ,Đà Nẵng,85.0,1,3,2,2,4.3,1
An Trung,An Hải Tây,Sơn Trà,Đà Nẵng,56.0,1,2,1,2,3.5,1
Mỹ Đa Tây 6,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,100.0,1,4,5,4,6.9,1
An Nhơn 1,An Hải Bắc,Sơn Trà,Đà Nẵng,114.0,1,4,2,2,7.8,1
An Thượng 27,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,90.0,1,3,3,2,10.5,1
Đa Mặn 10,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,81.0,1,3,3,2,4.75,1
Phan Tôn,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,118.0,1,4,5,3,12.5,1
Hồ Nghinh,Phước Mỹ,Sơn Trà,Đà Nẵng,121.0,1,3,4,3,16.0,1
Nam Thọ 2,Thọ Quang,Sơn Trà,Đà Nẵng,90.0,1,3,4,3,5.0,1
Hỏa Sơn 3,Hòa Hải,Ngũ Hành Sơn,Đà Nẵng,100.0,1,3,2,2,3.6,1
Dương Tử Giang,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,90.0,1,6,7,4,6.9,1
Lê Văn Hiến,Hòa Hải,Ngũ Hành Sơn,Đà Nẵng,112.0,1,2,2,2,6.2,1
Quy Mỹ,Hòa Cường Nam,Hải Châu,Đà Nẵng,120.0,1,4,5,4,12.0,1
Trần Xuân Lê,Hòa Khê,Thanh Khê,Đà Nẵng,60.0,1,3,3,3,4.15,1
Lê Tấn Trung,Thọ Quang,Sơn Trà,Đà Nẵng,118.0,1,4,6,3,7.1,1
Nguyễn Văn Linh,Hòa Hiệp Nam,Liên Chiểu,Đà Nẵng,60.0,1,1,1,3,2.8,1
Trần Hưng Đạo,Nại Hiên Đông,Sơn Trà,Đà Nẵng,144.0,1,4,3,3,9.5,1
Nước Mặn 5,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,95.0,1,4,4,3,5.5,1
Vũ Mộng Nguyên,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,113.0,1,5,2,2,6.8,1
Trần Hưng Đạo,An Hải Tây,Sơn Trà,Đà Nẵng,60.0,2,2,2,3,8.0,1
Tạ Hiện,Hòa Cường Bắc,Hải Châu,Đà Nẵng,47.6,1,2,2,2,6.0,1
Thủ Khoa Huân,An Hải Đông,Sơn Trà,Đà Nẵng,74.0,1,2,2,2,7.4,1
Trưng Nữ Vương,Bình Hiên,Hải Châu,Đà Nẵng,48.8,1,1,2,2,7.0,1
Nguyễn Duy Hiệu,An Hải Đông,Sơn Trà,Đà Nẵng,130.0,1,2,1,3,13.0,1
Lê Thanh Nghị,Hòa Cường Nam,Hải Châu,Đà Nẵng,71.0,1,4,3,4,12.0,1
Núi Thành,Hòa Cường Bắc,Hải Châu,Đà Nẵng,100.0,1,3,3,3,12.3,1
Phan Trọng Tuệ,Hòa Cường Nam,Hải Châu,Đà Nẵng,70.0,1,3,3,3,7.0,1
Huy CậN,Hòa Cường Nam,Hải Châu,Đà Nẵng,121.0,1,2,2,2,11.5,1
Huy Cận,Khuê Trung,Cẩm Lệ,Đà Nẵng,142.5,1,7,5,3,9.5,1
Tố Hữu,Hòa Cường Nam,Hải Châu,Đà Nẵng,155.0,1,4,4,3,16.0,1
Cao Thắng,Thanh Bình,Hải Châu,Đà Nẵng,52.0,1,3,3,3,7.9,1
Nguyễn Văn Tố,Thuận Phước,Hải Châu,Đà Nẵng,54.0,1,1,1,2,4.3,1
Tiên Sơn 17,Hòa Cường Nam,Hải Châu,Đà Nẵng,70.0,1,1,1,2,4.2,1
Hải Sơn,Thanh Bình,Hải Châu,Đà Nẵng,55.0,1,3,3,3,4.7,1
Lưu Văn Lang,Hòa Hải,Ngũ Hành Sơn,Đà Nẵng,100.0,1,4,3,3,5.7,1
Tiên Sơn 8,Hòa Cường Nam,Hải Châu,Đà Nẵng,83.0,1,3,3,3,6.3,1
